trial,winner
0,RED
1,RED
2,BLUE
3,BLUE
4,BLUE
5,RED
6,BLUE
7,RED
8,BLUE
9,DRAW
10,RED
11,RED
12,RED
13,RED
14,RED
15,RED
16,RED
17,BLUE
18,BLUE
19,RED
20,RED
21,BLUE
22,BLUE
23,BLUE
24,BLUE
25,BLUE
26,BLUE
27,RED
28,BLUE
29,RED
30,BLUE
31,BLUE
32,BLUE
33,RED
34,RED
35,RED
36,RED
37,RED
38,RED
39,RED
40,BLUE
41,DRAW
42,RED
43,RED
44,RED
45,BLUE
46,BLUE
47,BLUE
48,BLUE
49,RED
50,BLUE
51,RED
52,BLUE
53,DRAW
54,BLUE
55,BLUE
56,BLUE
57,DRAW
58,BLUE
59,BLUE
60,RED
61,RED
62,RED
63,BLUE
64,BLUE
65,BLUE
66,RED
67,BLUE
68,BLUE
69,RED
70,RED
71,RED
72,BLUE
73,BLUE
74,RED
75,DRAW
76,BLUE
77,BLUE
78,BLUE
79,BLUE
80,RED
81,DRAW
82,BLUE
83,RED
84,BLUE
85,RED
86,RED
87,RED
88,RED
89,RED
90,RED
91,BLUE
92,RED
93,BLUE
94,RED
95,BLUE
96,BLUE
97,BLUE
98,BLUE
99,RED
